date,temperature_c
2026-01-01,6.5
2026-01-02,4.5
2026-01-03,5.0
2026-01-04,1.9
2026-01-05,3.2
2026-01-06,7.0
2026-01-07,3.0
2026-01-08,2.2
2026-01-09,5.6
2026-01-10,2.0
2026-01-11,8.4
2026-01-12,7.5
2026-01-13,13.4
2026-01-14,7.2
2026-01-15,8.4
2026-01-16,7.6
2026-01-17,5.2
2026-01-18,7.0
2026-01-19,14.6
2026-01-20,11.9
2026-01-21,14.5
2026-01-22,8.4
2026-01-23,6.6
2026-01-24,9.4
2026-01-25,7.0
2026-01-26,3.8
2026-01-27,11.1
2026-01-28,6.5
2026-01-29,12.2
2026-01-30,14.3
2026-01-31,4.9
2026-02-01,13.5
2026-02-02,9.3
2026-02-03,12.3
2026-02-04,10.6
2026-02-05,12.3
2026-02-06,12.5
2026-02-07,10.4
2026-02-08,11.4
2026-02-09,14.7
2026-02-10,11.5
2026-02-11,7.3
2026-02-12,10.5
2026-02-13,16.0
2026-02-14,15.9
2026-02-15,9.3
2026-02-16,10.6
2026-02-17,15.5
2026-02-18,16.1
2026-02-19,10.1
2026-02-20,11.5
2026-02-21,14.9
2026-02-22,15.8
2026-02-23,15.3
2026-02-24,13.3
2026-02-25,17.2
2026-02-26,9.3
2026-02-27,16.2
2026-02-28,12.2
2026-03-01,19.7
2026-03-02,16.7
2026-03-03,14.7
2026-03-04,14.8
2026-03-05,17.0
2026-03-06,18.5
2026-03-07,15.4
2026-03-08,19.9
2026-03-09,20.7
2026-03-10,15.7
2026-03-11,16.6
2026-03-12,20.3
2026-03-13,24.5
2026-03-14,14.8
2026-03-15,16.7
2026-03-16,16.7
2026-03-17,17.4
2026-03-18,19.5
2026-03-19,15.6
2026-03-20,24.2
2026-03-21,21.6
2026-03-22,19.5
2026-03-23,20.0
2026-03-24,20.9
2026-03-25,22.3
2026-03-26,18.3
2026-03-27,14.8
2026-03-28,20.1
2026-03-29,23.7
2026-03-30,22.6
2026-03-31,18.6
