date,store,category,units_sold,revenue,temperature_c
2026-02-21,Downtown,Snacks,77.0,231.0,14.9
2026-02-18,Downtown,Produce,54.0,108.0,16.1
2026-03-13,Riverside,Ice Cream,81.0,364.5,24.5
2026-01-07,Uptown,Beverages,103.0,257.5,3.0
2026-02-11,Suburb Mall,Produce,52.0,104.0,7.3
2026-03-27,Uptown,Snacks,90.0,270.0,14.8
2026-02-07,Downtown,Snacks,97.0,291.0,10.4
2026-02-08,Downtown,Snacks,101.0,303.0,11.4
2026-01-29,Riverside,Snacks,100.0,300.0,12.2
2026-01-31,Suburb Mall,Bakery,75.0,262.5,4.9
2026-02-17,Suburb Mall,Beverages,114.0,285.0,15.5
2026-01-14,Downtown,Beverages,106.0,265.0,7.2
2026-02-03,Downtown,Snacks,87.0,261.0,12.3
2026-02-12,Suburb Mall,Ice Cream,45.0,202.5,10.5
2026-02-22,Downtown,Ice Cream,56.0,252.0,15.8
2026-01-22,Riverside,Snacks,95.0,285.0,8.4
2026-01-18,Riverside,Produce,75.0,150.0,7.0
2026-03-11,Downtown,Produce,70.0,140.0,16.6
2026-01-31,Uptown,Beverages,127.0,317.5,4.9
2026-03-04,Suburb Mall,Beverages,115.0,287.5,14.8
2026-02-13,Uptown,Bakery,75.0,262.5,16.0
2026-01-13,Suburb Mall,Bakery,,189.0,13.4
2026-01-18,Suburb Mall,Snacks,114.0,342.0,7.0
2026-01-22,Uptown,Produce,70.0,140.0,8.4
2026-03-21,Riverside,Produce,85.0,170.0,21.6
2026-03-02,Uptown,Bakery,88.0,308.0,16.7
2026-01-23,Uptown,Snacks,81.0,243.0,6.6
2026-03-30,Suburb Mall,Beverages,141.0,352.5,22.6
2026-02-28,Downtown,Produce,66.0,132.0,12.2
2026-01-30,Suburb Mall,Snacks,80.0,240.0,14.3
2026-03-13,Riverside,Bakery,71.0,248.5,24.5
2026-03-14,Riverside,Beverages,110.0,275.0,14.8
2026-01-28,Riverside,Produce,65.0,130.0,6.5
2026-03-13,Downtown,Snacks,99.0,297.0,24.5
2026-03-03,Downtown,Bakery,56.0,196.0,14.7
2026-02-21,Suburb Mall,Beverages,125.0,312.5,14.9
2026-03-24,Uptown,Snacks,117.0,351.0,20.9
2026-01-03,Uptown,Produce,49.0,98.0,5.0
2026-01-18,Suburb Mall,Ice Cream,21.0,94.5,7.0
2026-01-15,Uptown,Snacks,82.0,246.0,8.4
2026-03-26,Downtown,Snacks,120.0,360.0,18.3
2026-01-04,Suburb Mall,Snacks,83.0,249.0,1.9
2026-01-30,Suburb Mall,Ice Cream,51.0,229.5,14.3
2026-02-08,Riverside,Produce,63.0,126.0,11.4
2026-03-29,Uptown,Beverages,130.0,325.0,23.7
2026-01-22,Uptown,Bakery,,238.0,8.4
2026-02-18,Uptown,Snacks,95.0,285.0,16.1
2026-02-07,Downtown,Beverages,119.0,297.5,10.4
2026-01-14,Riverside,Bakery,75.0,262.5,7.2
2026-01-29,Suburb Mall,Ice Cream,37.0,166.5,12.2
2026-01-08,Downtown,Produce,47.0,94.0,2.2
2026-03-01,Uptown,Bakery,77.0,269.5,19.7
2026-02-28,Suburb Mall,Ice Cream,66.0,297.0,12.2
2026-02-05,Downtown,Produce,39.0,78.0,12.3
2026-02-23,Suburb Mall,Produce,68.0,136.0,15.3
2026-02-16,Uptown,Produce,54.0,108.0,10.6
2026-01-28,Riverside,Beverages,100.0,250.0,6.5
2026-01-07,Suburb Mall,Ice Cream,22.0,99.0,3.0
2026-02-06,Suburb Mall,Bakery,52.0,182.0,12.5
2026-01-21,Downtown,Produce,78.0,156.0,14.5
2026-03-31,Downtown,Snacks,91.0,273.0,18.6
2026-03-31,Uptown,Produce,54.0,108.0,18.6
2026-03-14,Downtown,Snacks,91.0,273.0,14.8
2026-02-07,Downtown,Produce,64.0,128.0,10.4
2026-01-18,Downtown,Ice Cream,37.0,166.5,7.0
2026-02-14,Uptown,Beverages,116.0,290.0,15.9
2026-01-26,Downtown,Snacks,87.0,261.0,3.8
2026-02-22,Uptown,Bakery,,133.0,15.8
2026-03-29,Uptown,Ice Cream,85.0,382.5,23.7
2026-01-28,Uptown,Produce,67.0,134.0,6.5
2026-02-19,Riverside,Snacks,84.0,252.0,10.1
2026-03-26,Uptown,Ice Cream,57.0,256.5,18.3
2026-03-06,Uptown,Produce,57.0,,18.5
2026-01-11,Riverside,Bakery,63.0,220.5,8.4
